"Team","W","L","W/L%","GB","PS/G","PA/G","SRS","Year","Total.PF","Total.PA","Ratio"
"Minneapolis Lakers",51,17,0.75,0,84.1,75.7,8.25,1950,5719,5148,1.11091686091686
"Rochester Royals",51,17,0.75,0,82.4,74.6,7.72,1950,5603,5073,1.10447466982062
"Fort Wayne Pistons",40,28,0.588,11,79.3,77.9,1.84,1950,5392,5297,1.01793468000755
"Chicago Stags",40,28,0.588,11,78.7,77.1,2.06,1950,5352,5243,1.02078962426092
"St. Louis Bombers",26,42,0.382,25,73.7,76.5,-2.01,1950,5012,5202,0.963475586312957
"Syracuse Nationals",51,13,0.797,0,84.8,76.7,6.48,1950,5427,4909,1.10552047260134
"New York Knicks",40,28,0.588,13,80.7,78.6,2.53,1950,5488,5345,1.0267539756782
"Washington Capitols",32,36,0.471,21,76.5,77.4,-0.28,1950,5202,5263,0.988409652289569
"Philadelphia Warriors",26,42,0.382,27,73.3,76.4,-2.27,1950,4984,5195,0.959384023099134
"Baltimore Bullets",25,43,0.368,28,73.1,78.7,-4.55,1950,4971,5352,0.928811659192825
"Boston Celtics",22,46,0.324,31,79.7,82.2,-1.73,1950,5420,5590,0.9695885509839
"Indianapolis Olympians",39,25,0.609,0,85.8,82.1,2.59,1950,5491,5254,1.04510848877046
"Anderson Packers",37,27,0.578,2,87.3,83.5,2.42,1950,5587,5344,1.04547155688623
"Tri-Cities Blackhawks",29,35,0.453,10,83,83.6,-1.43,1950,5312,5350,0.992897196261682
"Sheboygan Red Skins",22,40,0.355,16,82.4,87.8,-5.85,1950,5109,5444,0.938464364437913
"Waterloo Hawks",19,43,0.306,19,79.4,84.9,-5.96,1950,4923,5264,0.935220364741641
"Denver Nuggets",11,51,0.177,27,77.7,89.2,-11.31,1950,4817,5530,0.871066907775769
"Philadelphia Warriors",40,26,0.606,0,85.4,81.6,3.4,1951,5636,5386,1.04641663572224
"Boston Celtics",39,30,0.565,2.5,85.2,85.5,-0.41,1951,5879,5900,0.996440677966102
"New York Knicks",36,30,0.545,4,85.8,85.4,0.49,1951,5663,5636,1.00479063165366
"Syracuse Nationals",32,34,0.485,8,86.1,85.5,0.62,1951,5683,5643,1.00708842814106
"Baltimore Bullets",24,42,0.364,16,82,84.3,-1.94,1951,5412,5564,0.972681524083393
"Washington Capitols",10,25,0.286,14.5,81.3,86,-4.63,1951,2846,3010,0.945514950166113
"Minneapolis Lakers",44,24,0.647,0,82.8,77.4,4.79,1951,5630,5263,1.06973209196276
"Rochester Royals",41,27,0.603,3,84.6,81.7,2.54,1951,5753,5556,1.03545716342693
"Fort Wayne Pistons",32,36,0.471,12,84.1,86,-1.81,1951,5719,5848,0.977941176470588
"Indianapolis Olympians",31,37,0.456,13,81.7,84.1,-2,1951,5556,5719,0.971498513726176
"Tri-Cities Blackhawks",25,43,0.368,19,84.3,88.1,-3.22,1951,5732,5991,0.956768486062427
"Syracuse Nationals",40,26,0.606,0,86.7,82.2,3.94,1952,5722,5425,1.0547465437788
"Boston Celtics",39,27,0.591,1,91.3,87.2,3.6,1952,6026,5755,1.04708948740226
"New York Knicks",37,29,0.561,3,85,84.2,0.67,1952,5610,5557,1.00953752024474
"Philadelphia Warriors",33,33,0.5,7,86.5,87.8,-1.08,1952,5709,5795,0.985159620362381
"Baltimore Bullets",20,46,0.303,20,81.5,89,-6.6,1952,5379,5874,0.915730337078652
"Rochester Royals",41,25,0.621,0,86.2,82.8,2.92,1952,5689,5465,1.04098810612992
"Minneapolis Lakers",40,26,0.606,1,85.6,79.5,5.28,1952,5650,5247,1.07680579378693
"Indianapolis Olympians",34,32,0.515,7,82.9,82.8,0.08,1952,5471,5465,1.00109789569991
"Fort Wayne Pistons",29,37,0.439,12,78,80.1,-1.83,1952,5148,5287,0.973709097787025
"Milwaukee Hawks",17,49,0.258,24,73.2,81.2,-7.04,1952,4831,5359,0.90147415562605
"New York Knicks",47,23,0.671,0,85.5,80.3,4.39,1953,5985,5621,1.06475716064757
"Syracuse Nationals",47,24,0.662,0.5,85.6,81.3,3.62,1953,6078,5772,1.05301455301455
"Boston Celtics",46,25,0.648,1.5,88.1,85.8,1.94,1953,6255,6092,1.02675640183848
"Baltimore Bullets",16,54,0.229,31,84.4,90.9,-5.8,1953,5908,6363,0.928492849284928
"Philadelphia Warriors",12,57,0.174,34.5,80.2,87.4,-7.75,1953,5534,6031,0.917592439064832
"Minneapolis Lakers",48,22,0.686,0,85.3,79.2,5.54,1953,5971,5544,1.0770202020202
"Rochester Royals",44,26,0.629,4,86.3,83.5,2.62,1953,6041,5845,1.03353293413174
"Fort Wayne Pistons",36,33,0.522,11.5,81,81.1,0.17,1953,5589,5596,0.998749106504646
"Indianapolis Olympians",28,43,0.394,20.5,74.6,77.4,-2.3,1953,5297,5495,0.963967242948135
"Milwaukee Hawks",27,44,0.38,21.5,75.9,77.4,-2.49,1953,5389,5495,0.980709736123749
"New York Knicks",44,28,0.611,0,79,79.1,-0.16,1954,5688,5695,0.998770851624232
"Syracuse Nationals",42,30,0.583,2,83.5,78.6,4.27,1954,6012,5659,1.06237851210461
"Boston Celtics",42,30,0.583,2,87.7,85.4,1.97,1954,6314,6149,1.02683363148479
"Philadelphia Warriors",29,43,0.403,15,78.2,80.4,-1.89,1954,5630,5789,0.972534116427708
"Baltimore Bullets",16,56,0.222,28,78.3,85.1,-5.98,1954,5638,6127,0.920189325934389
"Minneapolis Lakers",46,26,0.639,0,81.7,78.6,2.71,1954,5882,5659,1.03940625552218
"Rochester Royals",44,28,0.611,2,79.8,77.3,2.24,1954,5746,5566,1.03233920229968
"Fort Wayne Pistons",40,32,0.556,6,77.7,76.1,1.45,1954,5594,5479,1.02098923161161
"Milwaukee Hawks",21,51,0.292,25,70,75.3,-4.55,1954,5040,5422,0.929546292880856
"Syracuse Nationals",43,29,0.597,0,91.1,89.7,1.23,1955,6559,6458,1.01563951687829
"New York Knicks",38,34,0.528,5,92.7,92.6,0.11,1955,6674,6667,1.00104994750262
"Boston Celtics",36,36,0.5,7,101.5,101.5,-0.03,1955,7308,7308,1
"Philadelphia Warriors",33,39,0.458,10,93.2,93.5,-0.19,1955,6710,6732,0.996732026143791
"Baltimore Bullets",NA,NA,NA,0,NA,NA,NA,1955,NA,NA,NA
"Fort Wayne Pistons",43,29,0.597,0,92.4,90,2.01,1955,6653,6480,1.0266975308642
"Minneapolis Lakers",40,32,0.556,3,95.6,94.5,0.96,1955,6883,6804,1.01161081716637
"Rochester Royals",29,43,0.403,14,90.8,92.4,-1.43,1955,6538,6653,0.982714564857959
"Milwaukee Hawks",26,46,0.361,17,87.4,90.4,-2.66,1955,6293,6509,0.966815178982947
"Philadelphia Warriors",45,27,0.625,0,103.1,98.8,3.82,1956,7423,7114,1.04343547933652
"Boston Celtics",39,33,0.542,6,106,105.3,0.72,1956,7632,7582,1.00659456607755
"Syracuse Nationals",35,37,0.486,10,96.9,96.9,0.17,1956,6977,6977,1
"New York Knicks",35,37,0.486,10,100.2,100.6,-0.2,1956,7214,7243,0.995996134198536
"Fort Wayne Pistons",37,35,0.514,0,94.4,93.7,0.45,1956,6797,6746,1.00756003557664
"Minneapolis Lakers",33,39,0.458,4,99.3,100.2,-0.92,1956,7150,7214,0.991128361519268
"St. Louis Hawks",33,39,0.458,4,96.6,98,-1.42,1956,6955,7056,0.985685941043084
"Rochester Royals",31,41,0.431,6,95.8,98.7,-2.61,1956,6898,7106,0.970728961441036
"Boston Celtics",44,28,0.611,0,105.5,100.2,4.78,1957,7596,7214,1.05295259218187
"Syracuse Nationals",38,34,0.528,6,99.7,101.1,-1.03,1957,7178,7279,0.986124467646655
"Philadelphia Warriors",37,35,0.514,7,100.4,98.8,1.54,1957,7229,7114,1.01616530784369
"New York Knicks",36,36,0.5,8,100.8,100.9,0.07,1957,7258,7265,0.999036476256022
"St. Louis Hawks",34,38,0.472,0,98.5,98.6,-0.27,1957,7092,7099,0.999013945626145
"Minneapolis Lakers",34,38,0.472,0,102.3,103.1,-0.89,1957,7366,7423,0.992321163949885
"Fort Wayne Pistons",34,38,0.472,0,96.4,98.7,-2.18,1957,6941,7106,0.976780185758514
"Rochester Royals",31,41,0.431,3,93.4,95.6,-2.08,1957,6725,6883,0.977044893215168
"Boston Celtics",49,23,0.681,0,109.9,104.4,5.02,1958,7913,7517,1.05268059066117
"Syracuse Nationals",41,31,0.569,8,107.2,105.1,2.18,1958,7718,7567,1.01995506805868
"Philadelphia Warriors",37,35,0.514,12,104.3,104.4,0.21,1958,7510,7517,0.999068777437808
"New York Knicks",35,37,0.486,14,112.1,110.8,1.35,1958,8071,7978,1.01165705690649
"St. Louis Hawks",41,31,0.569,0,107.5,106.2,0.82,1958,7740,7646,1.01229400993984
"Detroit Pistons",33,39,0.458,8,105.3,107.7,-2.32,1958,7582,7754,0.977817900438483
"Cincinnati Royals",33,39,0.458,8,101.7,103.1,-1.47,1958,7322,7423,0.986393641384885
"Minneapolis Lakers",19,53,0.264,22,105.1,111.5,-5.78,1958,7567,8028,0.942575984055805
"Boston Celtics",52,20,0.722,0,116.4,109.9,5.84,1959,8381,7913,1.0591431821054
"New York Knicks",40,32,0.556,12,110.3,110.1,0.49,1959,7942,7927,1.00189226693579
"Syracuse Nationals",35,37,0.486,17,113.1,109.1,3.74,1959,8143,7855,1.03666454487588
"Philadelphia Warriors",32,40,0.444,20,103.3,106.3,-2.29,1959,7438,7654,0.971779461719362
"St. Louis Hawks",49,23,0.681,0,108.8,105.1,2.89,1959,7834,7567,1.03528478921633
"Minneapolis Lakers",33,39,0.458,16,106,107.3,-1.42,1959,7632,7726,0.987833290188972
"Detroit Pistons",28,44,0.389,21,105.1,106.3,-1.36,1959,7567,7654,0.988633394303632
"Cincinnati Royals",19,53,0.264,30,103.1,111.9,-7.89,1959,7423,8057,0.921310661536552
"Boston Celtics",59,16,0.787,0,124.5,116.2,7.62,1960,9338,8715,1.0714859437751
"Philadelphia Warriors",49,26,0.653,10,118.6,116,2.77,1960,8895,8700,1.02241379310345
"Syracuse Nationals",45,30,0.6,14,118.9,116.3,2.77,1960,8918,8722,1.02247191011236
"New York Knicks",27,48,0.36,32,117.3,119.6,-1.43,1960,8798,8970,0.98082497212932
"St. Louis Hawks",46,29,0.613,0,113.4,110.7,1.77,1960,8505,8302,1.02445193929174
"Detroit Pistons",30,45,0.4,16,111.6,115,-3.45,1960,8370,8625,0.970434782608696
"Minneapolis Lakers",25,50,0.333,21,107.3,111.5,-4.14,1960,8048,8362,0.962449174838555
"Cincinnati Royals",19,56,0.253,27,111.1,117.4,-5.92,1960,8332,8805,0.946280522430437
"Boston Celtics",57,22,0.722,0,119.7,114.1,4.94,1961,9456,9014,1.04903483470158
"Philadelphia Warriors",46,33,0.582,11,121,120.1,0.89,1961,9559,9488,1.00748313659359
"Syracuse Nationals",38,41,0.481,19,121.3,119.2,1.93,1961,9583,9417,1.01762769459488
"New York Knicks",21,58,0.266,36,113.7,120.1,-5.43,1961,8982,9488,0.946669477234401
"St. Louis Hawks",51,28,0.646,0,118.8,115.2,2.99,1961,9385,9101,1.03120536204813
"Los Angeles Lakers",36,43,0.456,15,114,114.1,-0.11,1961,9006,9014,0.999112491679609
"Detroit Pistons",34,45,0.43,17,118.6,121,-2.11,1961,9369,9559,0.980123443874882
"Cincinnati Royals",33,46,0.418,18,117.9,121.3,-3.04,1961,9314,9583,0.971929458415945
"Boston Celtics",60,20,0.75,0,121.1,111.9,8.25,1962,9688,8952,1.08221626452189
"Philadelphia Warriors",49,31,0.613,11,125.4,122.7,2.63,1962,10032,9816,1.02200488997555
"Syracuse Nationals",41,39,0.513,19,120.7,118.4,2.24,1962,9656,9472,1.01942567567568
"New York Knicks",29,51,0.363,31,114.8,119.7,-3.98,1962,9184,9576,0.95906432748538
"Los Angeles Lakers",54,26,0.675,0,118.5,116.3,1.8,1962,9480,9304,1.0189165950129
"Cincinnati Royals",43,37,0.538,11,123.1,121.3,1.28,1962,9848,9704,1.01483924154988
"Detroit Pistons",37,43,0.463,17,115.4,117.1,-1.72,1962,9232,9368,0.985482493595218
"St. Louis Hawks",29,51,0.363,25,118.9,122.1,-2.96,1962,9512,9768,0.973791973791974
"Chicago Packers",18,62,0.225,36,110.9,119.4,-7.54,1962,8872,9552,0.928810720268007
"Boston Celtics",58,22,0.725,0,118.8,111.6,6.38,1963,9504,8928,1.06451612903226
"Syracuse Nationals",48,32,0.6,10,121.6,117.8,3.4,1963,9728,9424,1.03225806451613
"Cincinnati Royals",42,38,0.525,16,119.1,117.8,1.24,1963,9528,9424,1.01103565365025
"New York Knicks",21,59,0.263,37,110.5,117.7,-6.2,1963,8840,9416,0.938827527612574
"Los Angeles Lakers",53,27,0.663,0,115.5,112.4,2.67,1963,9240,8992,1.02758007117438
"St. Louis Hawks",48,32,0.6,5,109.6,107.8,1.38,1963,8768,8624,1.01669758812616
"Detroit Pistons",34,46,0.425,19,113.9,117.6,-3.38,1963,9112,9408,0.968537414965986
"San Francisco Warriors",31,49,0.388,22,118.5,120.6,-1.86,1963,9480,9648,0.982587064676617
"Chicago Zephyrs",25,55,0.313,28,109.9,114,-3.63,1963,8792,9120,0.964035087719298
"Boston Celtics",59,21,0.738,0,113,105.1,6.93,1964,9040,8408,1.07516650808754
"Cincinnati Royals",55,25,0.688,4,114.7,109.7,4.43,1964,9176,8776,1.04557885141294
"Philadelphia ers",34,46,0.425,25,112.2,116.5,-3.75,1964,8976,9320,0.963090128755365
"New York Knicks",22,58,0.275,37,112.2,119,-5.91,1964,8976,9520,0.942857142857143
"San Francisco Warriors",48,32,0.6,0,107.7,102.6,4.41,1964,8616,8208,1.04970760233918
"St. Louis Hawks",46,34,0.575,2,110,108.4,1.39,1964,8800,8672,1.01476014760148
"Los Angeles Lakers",42,38,0.525,6,109.7,108.7,0.87,1964,8776,8696,1.00919963201472
"Baltimore Bullets",31,49,0.388,17,111.9,113.6,-1.59,1964,8952,9088,0.985035211267606
"Detroit Pistons",23,57,0.288,25,107.8,115.5,-6.77,1964,8624,9240,0.933333333333333
"Boston Celtics",62,18,0.775,0,112.8,104.4,7.46,1965,9024,8352,1.08045977011494
"Cincinnati Royals",48,32,0.6,14,114.2,111.9,2.04,1965,9136,8952,1.02055406613047
